Arizona, Average Temperature, January-December
Units: Degrees Fahrenheit,,
Base Period: 1970-2000,,
Missing: -99,,
Date,Value,Anomaly
197012,59,-0.8
197112,58.2,-1.6
197212,59.6,-0.2
197312,58.4,-1.4
197412,59.5,-0.3
197512,57.9,-1.9
197612,59,-0.8
197712,60.2,0.4
197812,59.8,0
197912,58.8,-1
198012,60.2,0.4
198112,61.3,1.5
198212,58.7,-1.1
198312,59.2,-0.6
198412,59.4,-0.4
198512,59.6,-0.2
198612,60.6,0.8
198712,59.3,-0.5
198812,60.2,0.4
198912,61.2,1.4
199012,59.7,-0.1
199112,59.2,-0.6
199212,59.6,-0.2
199312,59.8,0
199412,60.6,0.8
199512,61,1.2
199612,61.9,2.1
199712,60.5,0.7
199812,59.3,-0.5
199912,60.8,1
200012,61.7,1.9
200112,61.2,1.4
200212,61.2,1.4
200312,61.9,2.1
200412,60.4,0.6
200512,61.1,1.3
200612,61.1,1.3
200712,61.6,1.8
200812,60.6,0.8
200912,61.1,1.3
201012,60.4,0.6
201112,60.3,0.5
201212,62.1,2.3
201312,60.4,0.6
201412,62.2,2.4
201512,61.8,2
201612,62.2,2.4
201712,63,3.2
201812,62.3,2.5
201912,60.3,0.5
202012,62.6,2.8
202112,62.1,2.3
