Arizona, Average Temperature,
Units: Degrees Fahrenheit,,
Base Period: 1970-2000,,
Missing: -99,,
Date,Value,Anomaly
197001,40.8,-1
197002,47.8,2.1
197003,47.3,-3
197004,51.5,-5.3
197005,66.4,0.9
197006,74.7,-0.4
197007,81,1.1
197008,79.3,1.1
197009,69.6,-2.6
197010,57.1,-4
197011,50.4,1.1
197012,41.6,-0.3
197101,41,-0.8
197102,44.1,-1.6
197103,50.6,0.3
197104,55.4,-1.4
197105,61.5,-4
197106,73.8,-1.3
197107,81.8,1.9
197108,77,-1.2
197109,71.1,-1.1
197110,56.3,-4.8
197111,47.9,-1.4
197112,38.1,-3.8
197201,41.2,-0.6
197202,46.9,1.2
197203,57,6.7
197204,58,1.2
197205,65.2,-0.3
197206,74.3,-0.8
197207,81.5,1.6
197208,77.2,-1
197209,71.2,-1
197210,59.3,-1.8
197211,44.9,-4.4
197212,39,-2.9
197301,37.3,-4.5
197302,43.6,-2.1
197303,44,-6.3
197304,53.1,-3.7
197305,66.1,0.6
197306,74.4,-0.7
197307,79.4,-0.5
197308,78.1,-0.1
197309,70.8,-1.4
197310,61.6,0.5
197311,49.3,0
197312,43,1.1
197401,39.9,-1.9
197402,42.5,-3.2
197403,52.2,1.9
197404,56.1,-0.7
197405,67.1,1.6
197406,78.9,3.8
197407,78.7,-1.2
197408,76.8,-1.4
197409,72.1,-0.1
197410,61.8,0.7
197411,49,-0.3
197412,38.7,-3.2
197501,40,-1.8
197502,42.5,-3.2
197503,47,-3.3
197504,50.3,-6.5
197505,62.1,-3.4
197506,72.8,-2.3
197507,79.3,-0.6
197508,77.8,-0.4
197509,72,-0.2
197510,60.3,-0.8
197511,48.5,-0.8
197512,42.1,0.2
197601,41.7,-0.1
197602,47.7,2
197603,47.9,-2.4
197604,54.9,-1.9
197605,66.3,0.8
197606,74,-1.1
197607,78.9,-1
197608,76.7,-1.5
197609,69.8,-2.4
197610,58.5,-2.6
197611,49.9,0.6
197612,41.3,-0.6
197701,39.6,-2.2
197702,46.4,0.7
197703,46.1,-4.2
197704,58.1,1.3
197705,61.3,-4.2
197706,76.2,1.1
197707,80.3,0.4
197708,79.1,0.9
197709,73.1,0.9
197710,63.7,2.6
197711,51.8,2.5
197712,46.8,4.9
197801,43.1,1.3
197802,44.6,-1.1
197803,52.7,2.4
197804,56,-0.8
197805,64,-1.5
197806,76.3,1.2
197807,80.6,0.7
