State,Year,Coal,Petroleum Products,Natural Gas,Total
Arizona,1970,0.8,0.0,3.3,4.1
Arizona,1971,0.8,0.2,3.8,4.9
Arizona,1972,0.7,0.6,4.4,5.7
Arizona,1973,0.9,3.4,3.2,7.6
Arizona,1974,4.6,3.9,2.3,10.8
Arizona,1975,8.5,3.4,1.0,12.9
Arizona,1976,12.6,2.9,1.4,16.9
Arizona,1977,15.5,3.8,1.7,21.0
Arizona,1978,14.3,2.6,3.1,20.0
Arizona,1979,19.8,2.5,2.9,25.2
Arizona,1980,22.1,0.7,2.8,25.6
Arizona,1981,28.0,0.2,3.2,31.5
Arizona,1982,29.0,0.2,1.7,31.0
Arizona,1983,25.2,0.3,1.1,26.6
Arizona,1984,27.4,0.3,1.4,29.2
Arizona,1985,28.8,0.2,2.3,31.3
Arizona,1986,23.7,0.1,1.7,25.5
Arizona,1987,25.6,0.2,1.5,27.3
Arizona,1988,28.2,0.1,1.4,29.7
Arizona,1989,32.2,0.2,2.8,35.2
Arizona,1990,31.4,0.1,1.3,32.8
Arizona,1991,31.8,0.1,1.3,33.1
Arizona,1992,34.0,0.1,1.7,35.7
Arizona,1993,35.7,0.0,1.1,36.9
Arizona,1994,36.8,0.1,1.4,38.3
Arizona,1995,31.3,0.1,1.2,32.6
Arizona,1996,31.3,0.1,1.2,32.6
Arizona,1997,33.8,0.0,1.4,35.3
Arizona,1998,35.5,0.1,2.3,37.8
Arizona,1999,37.1,0.0,2.9,40.1
Arizona,2000,39.7,0.2,5.2,45.1
Arizona,2001,39.0,0.3,7.0,46.3
Arizona,2002,37.5,0.0,7.9,45.4
Arizona,2003,37.4,0.0,9.1,46.5
Arizona,2004,39.1,0.0,13.0,52.2
Arizona,2005,39.4,0.0,11.8,51.3
Arizona,2006,39.7,0.1,13.4,53.1
Arizona,2007,40.4,0.0,15.2,55.6
Arizona,2008,42.6,0.0,15.5,58.1
Arizona,2009,38.6,0.0,14.2,52.9
Arizona,2010,42.7,0.1,12.1,54.9
Arizona,2011,43.0,0.0,9.8,52.8
Arizona,2012,39.4,0.0,12.4,51.8
Arizona,2013,43.0,0.0,12.1,55.2
Arizona,2014,42.3,0.0,11.2,53.5
Arizona,2015,36.4,0.0,13.6,50.0
Arizona,2016,30.6,0.0,14.0,44.6
Arizona,2017,31.5,0.0,12.3,43.8
Arizona,2018,31.1,0.0,15.7,46.8
Arizona,2019,24.0,0.1,19.5,43.5
