State,Year,Coal,Petroleum Products,Natural Gas
Arizona,1970,0.8,13.4,10.7
Arizona,1971,0.8,14.3,11.8
Arizona,1972,0.7,16.8,12.6
Arizona,1973,0.9,21.7,11.8
Arizona,1974,4.6,21.4,10.7
Arizona,1975,8.8,20.8,8.6
Arizona,1976,13.3,21.1,9.4
Arizona,1977,17.1,24.2,9.2
Arizona,1978,15.2,24.3,9.8
Arizona,1979,23.4,23.3,9.5
Arizona,1980,23.3,20.4,9.1
Arizona,1981,30.4,19.4,10.1
Arizona,1982,32.0,19.0,7.5
Arizona,1983,28.1,19.8,6.3
Arizona,1984,30.9,21.0,6.7
Arizona,1985,32.5,21.3,7.2
Arizona,1986,28.1,22.6,5.6
Arizona,1987,26.9,23.1,6.4
Arizona,1988,29.4,23.4,6.8
Arizona,1989,33.6,23.9,8.0
Arizona,1990,32.7,23.5,6.9
Arizona,1991,33.1,24.1,6.7
Arizona,1992,35.2,24.5,7.0
Arizona,1993,37.0,25.9,6.2
Arizona,1994,38.2,26.3,7.3
Arizona,1995,32.6,27.4,6.7
Arizona,1996,32.6,29.4,6.6
Arizona,1997,35.1,29.4,7.2
Arizona,1998,36.8,31.5,8.5
Arizona,1999,38.4,33.4,8.8
Arizona,2000,41.2,34.4,11.0
Arizona,2001,40.4,35.6,12.9
Arizona,2002,38.8,36.0,13.5
Arizona,2003,38.8,37.1,14.6
Arizona,2004,40.7,37.8,18.9
Arizona,2005,40.9,38.9,17.4
Arizona,2006,41.2,40.0,19.3
Arizona,2007,41.8,39.2,21.3
Arizona,2008,43.8,37.1,21.7
Arizona,2009,39.5,34.4,20.0
Arizona,2010,43.7,37.9,17.8
Arizona,2011,43.9,38.2,15.5
Arizona,2012,40.2,37.3,17.9
Arizona,2013,43.4,37.9,18.0
Arizona,2014,42.8,37.8,16.7
Arizona,2015,36.9,38.8,19.3
Arizona,2016,30.9,40.2,19.7
Arizona,2017,32.0,40.8,17.7
Arizona,2018,31.7,41.2,21.1
Arizona,2019,24.6,42.3,25.6
