State,Year,Coal,Petroleum Products,Natural Gas,Total
Arizona,1970,0.0,0.9,3.1,4.0
Arizona,1971,0.0,1.1,3.3,4.3
Arizona,1972,0.0,1.5,3.4,4.9
Arizona,1973,0.0,2.0,3.5,5.5
Arizona,1974,0.0,1.9,3.5,5.4
Arizona,1975,0.2,1.7,2.7,4.7
Arizona,1976,0.7,1.9,2.9,5.4
Arizona,1977,1.6,2.5,2.7,6.8
Arizona,1978,0.9,2.9,2.5,6.3
Arizona,1979,3.6,2.1,2.4,8.0
Arizona,1980,1.2,2.0,2.0,5.2
Arizona,1981,2.3,1.6,2.5,6.4
Arizona,1982,2.9,1.2,1.6,5.7
Arizona,1983,2.9,1.1,1.6,5.6
Arizona,1984,3.5,1.4,1.5,6.4
Arizona,1985,3.7,1.1,0.9,5.6
Arizona,1986,4.4,1.5,0.4,6.4
Arizona,1987,1.3,1.2,0.9,3.4
Arizona,1988,1.2,1.2,1.3,3.6
Arizona,1989,1.3,1.7,1.1,4.1
Arizona,1990,1.3,1.6,1.0,3.8
Arizona,1991,1.3,1.5,1.0,3.8
Arizona,1992,1.2,1.6,1.0,3.9
Arizona,1993,1.3,1.5,1.1,3.9
Arizona,1994,1.4,1.5,1.4,4.3
Arizona,1995,1.2,1.9,1.5,4.6
Arizona,1996,1.3,2.1,1.4,4.7
Arizona,1997,1.3,2.1,1.4,4.8
Arizona,1998,1.3,1.8,1.5,4.6
Arizona,1999,1.2,2.0,1.4,4.7
Arizona,2000,1.5,2.1,1.1,4.7
Arizona,2001,1.4,2.3,1.1,4.8
Arizona,2002,1.3,2.1,0.9,4.2
Arizona,2003,1.4,1.8,0.8,4.0
Arizona,2004,1.5,1.9,1.1,4.5
Arizona,2005,1.5,2.6,0.9,5.0
Arizona,2006,1.5,2.5,1.0,5.0
Arizona,2007,1.4,2.4,1.0,4.8
Arizona,2008,1.2,3.1,1.1,5.4
Arizona,2009,0.8,2.4,0.9,4.2
Arizona,2010,1.0,2.6,1.0,4.6
Arizona,2011,1.0,2.9,1.1,5.0
Arizona,2012,0.8,2.9,1.2,4.9
Arizona,2013,0.4,2.9,1.2,4.5
Arizona,2014,0.5,2.7,1.2,4.4
Arizona,2015,0.5,2.7,1.1,4.2
Arizona,2016,0.4,3.0,1.0,4.5
Arizona,2017,0.5,3.3,1.0,4.8
Arizona,2018,0.6,2.9,1.0,4.5
Arizona,2019,0.6,3.0,1.0,4.6
