State,Year,Coal,Petroleum Products,Natural Gas,Total
Arizona,1970,0.0,0.3,1.7,1.9
Arizona,1971,0.0,0.3,1.8,2.1
Arizona,1972,0.0,0.3,1.9,2.2
Arizona,1973,0.0,0.3,2.0,2.3
Arizona,1974,0.0,0.3,1.8,2.1
Arizona,1975,0.0,0.2,2.1,2.4
Arizona,1976,0.0,0.3,2.2,2.5
Arizona,1977,0.0,0.3,2.1,2.4
Arizona,1978,0.0,0.3,1.7,2.0
Arizona,1979,0.0,0.3,1.6,1.9
Arizona,1980,0.0,0.1,1.6,1.8
Arizona,1981,0.0,0.1,1.5,1.6
Arizona,1982,0.0,0.2,1.6,1.8
Arizona,1983,0.0,0.2,1.6,1.8
Arizona,1984,0.0,0.2,1.5,1.7
Arizona,1985,0.0,0.2,1.6,1.8
Arizona,1986,0.0,0.2,1.4,1.6
Arizona,1987,0.0,0.2,1.6,1.8
Arizona,1988,0.0,0.2,1.5,1.7
Arizona,1989,0.0,0.2,1.5,1.7
Arizona,1990,0.0,0.2,1.7,1.8
Arizona,1991,0.0,0.2,1.7,1.9
Arizona,1992,0.0,0.2,1.6,1.8
Arizona,1993,0.0,0.2,1.5,1.7
Arizona,1994,0.0,0.2,1.6,1.8
Arizona,1995,0.0,0.2,1.5,1.7
Arizona,1996,0.0,0.2,1.5,1.7
Arizona,1997,0.0,0.2,1.7,1.8
Arizona,1998,0.0,0.2,1.9,2.2
Arizona,1999,0.0,0.3,1.8,2.1
Arizona,2000,0.0,0.3,1.9,2.1
Arizona,2001,0.0,0.3,1.9,2.2
Arizona,2002,0.0,0.3,1.9,2.2
Arizona,2003,0.0,0.2,1.9,2.1
Arizona,2004,0.0,0.2,2.1,2.2
Arizona,2005,0.0,0.2,1.9,2.1
Arizona,2006,0.0,0.2,1.9,2.2
Arizona,2007,0.0,0.2,2.1,2.3
Arizona,2008,0.0,0.3,2.1,2.4
Arizona,2009,0.0,0.3,1.9,2.2
Arizona,2010,0.0,0.3,2.0,2.3
Arizona,2011,0.0,0.3,2.1,2.4
Arizona,2012,0.0,0.2,1.9,2.1
Arizona,2013,0.0,0.3,2.2,2.4
Arizona,2014,0.0,0.3,1.8,2.0
Arizona,2015,0.0,0.2,1.9,2.1
Arizona,2016,0.0,0.3,1.9,2.2
Arizona,2017,0.0,0.2,1.8,2.1
Arizona,2018,0.0,0.3,1.9,2.2
Arizona,2019,0.0,0.3,2.3,2.6
