State,Year,Coal,Petroleum Products,Natural Gas,Total
Arizona,1970,0.0,12.0,1.3,13.4
Arizona,1971,0.0,12.6,1.5,14.0
Arizona,1972,0.0,14.1,1.4,15.6
Arizona,1973,0.0,15.6,1.3,16.9
Arizona,1974,0.0,14.9,1.3,16.2
Arizona,1975,0.0,15.1,1.0,16.1
Arizona,1976,0.0,15.6,0.9,16.5
Arizona,1977,0.0,16.9,0.8,17.8
Arizona,1978,0.0,17.9,0.9,18.7
Arizona,1979,0.0,18.0,1.1,19.2
Arizona,1980,0.0,17.4,1.2,18.6
Arizona,1981,0.0,17.4,1.4,18.7
Arizona,1982,0.0,17.2,1.0,18.3
Arizona,1983,0.0,17.9,0.7,18.5
Arizona,1984,0.0,18.9,0.8,19.7
Arizona,1985,0.0,19.6,1.0,20.6
Arizona,1986,0.0,20.5,0.7,21.2
Arizona,1987,0.0,21.1,0.9,22.0
Arizona,1988,0.0,21.7,1.0,22.7
Arizona,1989,0.0,21.6,1.0,22.6
Arizona,1990,0.0,21.4,1.4,22.8
Arizona,1991,0.0,22.0,1.3,23.3
Arizona,1992,0.0,22.4,1.3,23.7
Arizona,1993,0.0,23.9,1.0,24.9
Arizona,1994,0.0,24.2,1.4,25.6
Arizona,1995,0.0,25.0,1.0,26.1
Arizona,1996,0.0,26.8,0.9,27.7
Arizona,1997,0.0,26.7,1.0,27.7
Arizona,1998,0.0,28.8,1.1,29.9
Arizona,1999,0.0,30.5,1.0,31.6
Arizona,2000,0.0,31.4,1.1,32.6
Arizona,2001,0.0,32.3,1.2,33.5
Arizona,2002,0.0,33.2,1.1,34.3
Arizona,2003,0.0,34.7,1.0,35.7
Arizona,2004,0.0,35.4,0.9,36.3
Arizona,2005,0.0,35.8,1.1,36.9
Arizona,2006,0.0,36.9,1.2,38.1
Arizona,2007,0.0,36.3,1.2,37.5
Arizona,2008,0.0,33.0,1.3,34.3
Arizona,2009,0.0,31.2,1.2,32.4
Arizona,2010,0.0,34.4,0.9,35.3
Arizona,2011,0.0,34.3,0.8,35.1
Arizona,2012,0.0,33.6,0.8,34.4
Arizona,2013,0.0,34.1,0.8,34.8
Arizona,2014,0.0,34.3,0.9,35.1
Arizona,2015,0.0,34.7,1.0,35.7
Arizona,2016,0.0,35.7,0.9,36.6
Arizona,2017,0.0,36.1,0.8,36.9
Arizona,2018,0.0,36.9,0.8,37.6
Arizona,2019,0.0,37.7,1.0,38.7
