State,Month,Year,Degrees Fahrenheit,Anomaly
Arizona,January,1970,40.8,-1
Arizona,February,1970,47.8,2.1
Arizona,March,1970,47.3,-3
Arizona,April,1970,51.5,-5.3
Arizona,May,1970,66.4,0.9
Arizona,June,1970,74.7,-0.4
Arizona,July,1970,81,1.1
Arizona,August,1970,79.3,1.1
Arizona,September,1970,69.6,-2.6
Arizona,October,1970,57.1,-4
Arizona,November,1970,50.4,1.1
Arizona,December,1970,41.6,-0.3
Arizona,January,1971,41,-0.8
Arizona,February,1971,44.1,-1.6
Arizona,March,1971,50.6,0.3
Arizona,April,1971,55.4,-1.4
Arizona,May,1971,61.5,-4
Arizona,June,1971,73.8,-1.3
Arizona,July,1971,81.8,1.9
Arizona,August,1971,77,-1.2
Arizona,September,1971,71.1,-1.1
Arizona,October,1971,56.3,-4.8
Arizona,November,1971,47.9,-1.4
Arizona,December,1971,38.1,-3.8
Arizona,January,1972,41.2,-0.6
Arizona,February,1972,46.9,1.2
Arizona,March,1972,57,6.7
Arizona,April,1972,58,1.2
Arizona,May,1972,65.2,-0.3
Arizona,June,1972,74.3,-0.8
Arizona,July,1972,81.5,1.6
Arizona,August,1972,77.2,-1
Arizona,September,1972,71.2,-1
Arizona,October,1972,59.3,-1.8
Arizona,November,1972,44.9,-4.4
Arizona,December,1972,39,-2.9
Arizona,January,1973,37.3,-4.5
Arizona,February,1973,43.6,-2.1
Arizona,March,1973,44,-6.3
Arizona,April,1973,53.1,-3.7
Arizona,May,1973,66.1,0.6
Arizona,June,1973,74.4,-0.7
Arizona,July,1973,79.4,-0.5
Arizona,August,1973,78.1,-0.1
Arizona,September,1973,70.8,-1.4
Arizona,October,1973,61.6,0.5
Arizona,November,1973,49.3,0
Arizona,December,1973,43,1.1
Arizona,January,1974,39.9,-1.9
Arizona,February,1974,42.5,-3.2
Arizona,March,1974,52.2,1.9
Arizona,April,1974,56.1,-0.7
Arizona,May,1974,67.1,1.6
Arizona,June,1974,78.9,3.8
Arizona,July,1974,78.7,-1.2
Arizona,August,1974,76.8,-1.4
Arizona,September,1974,72.1,-0.1
Arizona,October,1974,61.8,0.7
Arizona,November,1974,49,-0.3
Arizona,December,1974,38.7,-3.2
Arizona,January,1975,40,-1.8
Arizona,February,1975,42.5,-3.2
Arizona,March,1975,47,-3.3
Arizona,April,1975,50.3,-6.5
Arizona,May,1975,62.1,-3.4
Arizona,June,1975,72.8,-2.3
Arizona,July,1975,79.3,-0.6
Arizona,August,1975,77.8,-0.4
Arizona,September,1975,72,-0.2
Arizona,October,1975,60.3,-0.8
Arizona,November,1975,48.5,-0.8
Arizona,December,1975,42.1,0.2
Arizona,January,1976,41.7,-0.1
Arizona,February,1976,47.7,2
Arizona,March,1976,47.9,-2.4
Arizona,April,1976,54.9,-1.9
Arizona,May,1976,66.3,0.8
Arizona,June,1976,74,-1.1
Arizona,July,1976,78.9,-1
Arizona,August,1976,76.7,-1.5
Arizona,September,1976,69.8,-2.4
Arizona,October,1976,58.5,-2.6
Arizona,November,1976,49.9,0.6
Arizona,December,1976,41.3,-0.6
Arizona,January,1977,39.6,-2.2
Arizona,February,1977,46.4,0.7
Arizona,March,1977,46.1,-4.2
Arizona,April,1977,58.1,1.3
Arizona,May,1977,61.3,-4.2
Arizona,June,1977,76.2,1.1
Arizona,July,1977,80.3,0.4
Arizona,August,1977,79.1,0.9
Arizona,September,1977,73.1,0.9
Arizona,October,1977,63.7,2.6
Arizona,November,1977,51.8,2.5
Arizona,December,1977,46.8,4.9
Arizona,January,1978,43.1,1.3
Arizona,February,1978,44.6,-1.1
Arizona,March,1978,52.7,2.4
Arizona,April,1978,56,-0.8
Arizona,May,1978,64,-1.5
Arizona,June,1978,76.3,1.2
Arizona,July,1978,80.6,0.7
Arizona,August,1978,77.5,-0.7
Arizona,September,1978,71.4,-0.8
Arizona,October,1978,64.6,3.5
Arizona,November,1978,49.2,-0.1
Arizona,December,1978,37.6,-4.3
Arizona,January,1979,36.5,-5.3
Arizona,February,1979,42.3,-3.4
Arizona,March,1979,47.9,-2.4
Arizona,April,1979,56.4,-0.4
Arizona,May,1979,64.1,-1.4
Arizona,June,1979,74.2,-0.9
Arizona,July,1979,79.7,-0.2
Arizona,August,1979,75.6,-2.6
Arizona,September,1979,75.3,3.1
Arizona,October,1979,63.8,2.7
Arizona,November,1979,46.2,-3.1
Arizona,December,1979,43.8,1.9
Arizona,January,1980,44.1,2.3
Arizona,February,1980,47.6,1.9
Arizona,March,1980,47.6,-2.7
Arizona,April,1980,56.2,-0.6
Arizona,May,1980,61.4,-4.1
Arizona,June,1980,75,-0.1
Arizona,July,1980,81.4,1.5
Arizona,August,1980,77.9,-0.3
Arizona,September,1980,72.6,0.4
Arizona,October,1980,60.8,-0.3
Arizona,November,1980,50.5,1.2
Arizona,December,1980,47.7,5.8
Arizona,January,1981,45.8,4
Arizona,February,1981,47.3,1.6
Arizona,March,1981,48.9,-1.4
Arizona,April,1981,60.6,3.8
Arizona,May,1981,65.3,-0.2
Arizona,June,1981,78.6,3.5
Arizona,July,1981,80.7,0.8
Arizona,August,1981,79.2,1
Arizona,September,1981,72.8,0.6
Arizona,October,1981,59.1,-2
Arizona,November,1981,52.4,3.1
Arizona,December,1981,45.2,3.3
Arizona,January,1982,41,-0.8
Arizona,February,1982,45.6,-0.1
Arizona,March,1982,49.2,-1.1
Arizona,April,1982,56.8,0
Arizona,May,1982,64.2,-1.3
Arizona,June,1982,72.2,-2.9
Arizona,July,1982,78.5,-1.4
Arizona,August,1982,78.2,0
Arizona,September,1982,72,-0.2
Arizona,October,1982,58.2,-2.9
Arizona,November,1982,48.2,-1.1
Arizona,December,1982,40.8,-1.1
Arizona,January,1983,42.6,0.8
Arizona,February,1983,45.2,-0.5
Arizona,March,1983,48.8,-1.5
Arizona,April,1983,51.3,-5.5
Arizona,May,1983,64,-1.5
Arizona,June,1983,72.4,-2.7
Arizona,July,1983,79.3,-0.6
Arizona,August,1983,77.2,-1
Arizona,September,1983,74.8,2.6
Arizona,October,1983,61.5,0.4
Arizona,November,1983,49.2,-0.1
Arizona,December,1983,44.1,2.2
Arizona,January,1984,42.4,0.6
Arizona,February,1984,44.1,-1.6
Arizona,March,1984,51,0.7
Arizona,April,1984,55.2,-1.6
Arizona,May,1984,70.9,5.4
Arizona,June,1984,74.1,-1
Arizona,July,1984,78.7,-1.2
Arizona,August,1984,76.8,-1.4
Arizona,September,1984,73.4,1.2
Arizona,October,1984,56.5,-4.6
Arizona,November,1984,48.7,-0.6
Arizona,December,1984,41.5,-0.4
Arizona,January,1985,40.4,-1.4
Arizona,February,1985,42.6,-3.1
Arizona,March,1985,49.4,-0.9
Arizona,April,1985,60,3.2
Arizona,May,1985,66.7,1.2
Arizona,June,1985,76.9,1.8
Arizona,July,1985,80.7,0.8
Arizona,August,1985,78.8,0.6
Arizona,September,1985,67.7,-4.5
Arizona,October,1985,60.7,-0.4
Arizona,November,1985,47.7,-1.6
Arizona,December,1985,43,1.1
Arizona,January,1986,47.5,5.7
Arizona,February,1986,47.8,2.1
Arizona,March,1986,54.2,3.9
Arizona,April,1986,58.5,1.7
Arizona,May,1986,66.6,1.1
Arizona,June,1986,76.6,1.5
Arizona,July,1986,77.6,-2.3
Arizona,August,1986,79.4,1.2
Arizona,September,1986,68,-4.2
Arizona,October,1986,58.6,-2.5
Arizona,November,1986,50,0.7
Arizona,December,1986,42.1,0.2
Arizona,January,1987,39.9,-1.9
Arizona,February,1987,44.3,-1.4
Arizona,March,1987,47.4,-2.9
Arizona,April,1987,60.6,3.8
Arizona,May,1987,65.1,-0.4
Arizona,June,1987,76.3,1.2
Arizona,July,1987,77.6,-2.3
Arizona,August,1987,77,-1.2
Arizona,September,1987,71.3,-0.9
Arizona,October,1987,64.8,3.7
Arizona,November,1987,48.4,-0.9
Arizona,December,1987,39.1,-2.8
Arizona,January,1988,40.3,-1.5
Arizona,February,1988,47.2,1.5
Arizona,March,1988,50.3,0
Arizona,April,1988,57.1,0.3
Arizona,May,1988,65.4,-0.1
Arizona,June,1988,76.2,1.1
Arizona,July,1988,80.9,1
Arizona,August,1988,77.4,-0.8
Arizona,September,1988,70.4,-1.8
Arizona,October,1988,66.2,5.1
Arizona,November,1988,50,0.7
Arizona,December,1988,41,-0.9
Arizona,January,1989,39.4,-2.4
Arizona,February,1989,45.8,0.1
Arizona,March,1989,55.5,5.2
Arizona,April,1989,64,7.2
Arizona,May,1989,67.7,2.2
Arizona,June,1989,75.6,0.5
Arizona,July,1989,81.7,1.8
Arizona,August,1989,77.3,-0.9
Arizona,September,1989,73.1,0.9
Arizona,October,1989,61.1,0
Arizona,November,1989,51.1,1.8
Arizona,December,1989,42.4,0.5
Arizona,January,1990,40.8,-1
Arizona,February,1990,42.7,-3
Arizona,March,1990,52,1.7
Arizona,April,1990,59.8,3
Arizona,May,1990,64.9,-0.6
Arizona,June,1990,78.3,3.2
Arizona,July,1990,79.3,-0.6
Arizona,August,1990,76,-2.2
Arizona,September,1990,73.1,0.9
Arizona,October,1990,62,0.9
Arizona,November,1990,50.3,1
Arizona,December,1990,37.4,-4.5
Arizona,January,1991,40.7,-1.1
Arizona,February,1991,49.2,3.5
Arizona,March,1991,45.8,-4.5
Arizona,April,1991,55.5,-1.3
Arizona,May,1991,63.2,-2.3
Arizona,June,1991,71.6,-3.5
Arizona,July,1991,79.3,-0.6
Arizona,August,1991,78.5,0.3
Arizona,September,1991,72.3,0.1
Arizona,October,1991,64.1,3
Arizona,November,1991,49,-0.3
Arizona,December,1991,41.8,-0.1
Arizona,January,1992,39.6,-2.2
Arizona,February,1992,47.1,1.4
Arizona,March,1992,50.2,-0.1
Arizona,April,1992,61.2,4.4
Arizona,May,1992,66.7,1.2
Arizona,June,1992,73.5,-1.6
Arizona,July,1992,78.1,-1.8
Arizona,August,1992,77.5,-0.7
