Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],GDP (constant 2010 US$) [NY.GDP.MKTP.KD],Imports of goods and services (constant 2010 US$) [NE.IMP.GNFS.KD],Exports of goods and services (current US$) [NE.EXP.GNFS.CD],Average precipitation in depth (mm per year) [AG.LND.PRCP.MM]
2000,YR2000,Afghanistan,AFG,20779953,2.975052846,..,..,..,..
2000,YR2000,Albania,ALB,3089027,-0.637356834,6933706092,2619748366,700086106.3,..
2000,YR2000,Algeria,DZA,31042235,1.358407806,1.10401E+11,19803125939,23050102312,..
2000,YR2000,American Samoa,ASM,57821,1.337137112,..,..,..,..
2000,YR2000,Andorra,AND,65390,1.572165551,2640408326,..,..,..
2000,YR2000,Angola,AGO,16395473,3.277203555,36155384575,4267996118,8187952997,..
2000,YR2000,Antigua and Barbuda,ATG,76016,1.781187179,997674789.1,..,814814814.8,..
2000,YR2000,Argentina,ARG,36870787,1.100583725,3.0323E+11,42559032988,31223690400,..
2000,YR2000,Armenia,ARM,3069591,-0.631020799,4306732119,2038605455,423629629.7,..
2000,YR2000,Aruba,ABW,90853,2.055026783,2581804608,..,1393854749,..
2000,YR2000,Australia,AUS,19153000,1.192272323,8.49137E+11,1.16306E+11,80697104817,..
2000,YR2000,Austria,AUT,8011566,0.240466652,3.36495E+11,1.3517E+11,85305371292,..
2000,YR2000,Azerbaijan,AZE,8048600,0.821519964,13351060283,2475890783,2118054168,..
2000,YR2000,"Bahamas, The",BHS,298051,1.347398334,9409692545,4468369416,3072900000,..
2000,YR2000,Bahrain,BHR,664611,4.31530764,15256303191,8013510638,7176063830,..
2000,YR2000,Bangladesh,BGD,127657854,1.95238739,67013472134,6403171397,6588073942,..
2000,YR2000,Barbados,BRB,271515,0.392645061,4227500000,..,1322800000,..
2000,YR2000,Belarus,BLR,9979610,-0.471131335,28028482646,14318716677,8815283224,..
2000,YR2000,Belgium,BEL,10251250,0.242517956,4.05833E+11,2.74927E+11,1.7136E+11,..
2000,YR2000,Belize,BLZ,247315,3.42494863,955513245.8,791148079.3,440767300,..
2000,YR2000,Benin,BEN,6865951,2.983994776,6520842618,1556971545,723503459,..
2000,YR2000,Bermuda,BMU,61833,0.894182916,5927399287,..,..,..
2000,YR2000,Bhutan,BTN,591021,2.248358465,661804110.3,329082660.1,129012507.8,..
2000,YR2000,Bolivia,BOL,8418264,1.93343126,13481147773,4292442813,1534697178,..
2000,YR2000,Bosnia and Herzegovina,BIH,3751176,0.208738983,11310019599,..,1579685634,..
2000,YR2000,Botswana,BWA,1643334,2.032896436,8563534760,4515495068,3000196009,..
2000,YR2000,Brazil,BRA,174790340,1.424167434,1.53871E+12,1.22266E+11,66774569992,..
2000,YR2000,British Virgin Islands,VGB,20311,1.413118192,..,..,..,..
2000,YR2000,Brunei Darussalam,BRN,333165,2.1096517,11971150348,2582161936,4042036717,..
2000,YR2000,Bulgaria,BGR,8170172,-0.493896417,32555406324,11643472165,4797489757,..
2000,YR2000,Burkina Faso,BFA,11607942,2.841885125,5681569471,1328285703,261515857.4,..
2000,YR2000,Burundi,BDI,6378871,1.767356522,1462076191,109163121.4,55005758.53,..
2000,YR2000,Cabo Verde,CPV,428188,1.82320284,948465609.7,..,145630289.3,..
2000,YR2000,Cambodia,KHM,12155239,2.236050134,5241366892,1996238812,1821397245,..
2000,YR2000,Cameroon,CMR,15513945,2.621099328,17787859759,5074744273,2612567707,..
2000,YR2000,Canada,CAN,30685730,0.931281553,1.20714E+12,3.80975E+11,3.29259E+11,..
2000,YR2000,Cayman Islands,CYM,42303,4.553329355,..,..,..,..
2000,YR2000,Central African Republic,CAF,3640427,2.289845843,1539405183,..,186303954.2,..
2000,YR2000,Chad,TCD,8355654,3.682718582,3862436487,..,233937659.2,..
2000,YR2000,Channel Islands,CHI,148443,0.600005854,..,..,..,..
2000,YR2000,Chile,CHL,15342353,1.177211428,1.44525E+11,28736366764,23772266321,..
2000,YR2000,China,CHN,1262645000,0.787956593,2.23218E+12,..,2.53092E+11,..
