Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1961,1961,°C,0.943,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1962,1962,°C,-0.768,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1963,1963,°C,-1.168,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1964,1964,°C,0.903,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1965,1965,°C,0.75,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1966,1966,°C,-1.659,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1967,1967,°C,1.638,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1968,1968,°C,-0.071,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1969,1969,°C,-0.469,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1970,1970,°C,-1.634,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1971,1971,°C,-1.211,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1972,1972,°C,-0.212,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1973,1973,°C,-0.495,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1974,1974,°C,0.536,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1975,1975,°C,0.793,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1976,1976,°C,0.137,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1977,1977,°C,-1.326,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1978,1978,°C,-0.446,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1979,1979,°C,-2.283,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1980,1980,°C,0.54,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1981,1981,°C,2.941,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1982,1982,°C,-1.678,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1983,1983,°C,1.413,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1984,1984,°C,-0.078,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1985,1985,°C,0.265,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1986,1986,°C,2.617,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1987,1987,°C,1.538,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1988,1988,°C,-0.166,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1989,1989,°C,0.804,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1990,1990,°C,2.806,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1991,1991,°C,0.222,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1992,1992,°C,2.193,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1993,1993,°C,0.613,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1994,1994,°C,0.343,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1995,1995,°C,1.818,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1996,1996,°C,-0.277,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1997,1997,°C,0.054,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1998,1998,°C,2.289,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,1999,1999,°C,1.364,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2000,2000,°C,1.528,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2001,2001,°C,2.046,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2002,2002,°C,2.774,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2003,2003,°C,2.165,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2004,2004,°C,0.107,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2005,2005,°C,2.167,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2006,2006,°C,3.552,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2007,2007,°C,1.169,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2008,2008,°C,0.2,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2009,2009,°C,0.445,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2010,2010,°C,0.536,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2011,2011,°C,0.626,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2012,2012,°C,1.561,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2013,2013,°C,2.07,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2014,2014,°C,1.961,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2015,2015,°C,2.049,Fc,Calculated data
